Sale Code,Activity,1st Brand,2nd Brand,3rd Brand,Average Product Price,Brand Count
YZ7XX,Baseball,Port & Company,Gildan,27 Sports,2847,7
YZ7KG,PE,Augusta,Gildan,ASI,2617,5
YZ7JG,Softball,Augusta,Gildan,ValuCap,1357,9
YZ6WJ,Track & Field,Gildan,Sport-Tek,Holloway,1571,3
YZ6V8,Volleyball,Sport-Tek,Gildan,J. American,1770,6
YZ6SG,Baseball,Holloway,Russell Athletic,Russell Athletic,2674,6
YZ6SE,Basketball,Under Armour,Nike,Badger,4076,8
YZ6RN,Dance,Port & Company,Bella + Canvas,Holloway,2185,7
YZ6B4,Baseball,Mizuno,The Game,A4,3705,9
YZ5TS,Basketball,Pennant Sportswear,Russell Athletic,Sport-Tek,2571,5
YZ5NE,Track & Field,Under Armour,Badger,Holloway,3134,3
YZ5J3,Baseball,Nike,Under Armour,ChamPro,2628,12
YZ524,Softball,Port & Company,Pennant Sportswear,Sport-Tek,2032,13
YZ49N,Cheer,Gildan,Port & Company,Port Authority,1367,3
YZ44S,Other,Holloway,Diamond,Pennant Sportswear,4771,5
YZ3WV,Medical,Nike,Under Armour,Port & Company,3047,5
YZ3TG,Softball,Gildan,Sport-Tek,District Made,1817,6
YZ33J,Lacrosse,Port & Company,Under Armour,Nike,1973,3
YZ2MG,Hockey,Athletic Knit,BIZ Collection,Russell Athletic,2328,6
YZ2FF,Basketball,Nike,Badger,Port & Company,3410,3
YYZZH,Baseball,Russell Athletic,Mizuno,Twin City,2335,6
YYZY9,Booster Club,Gildan,District Made,Holloway,1216,7
YYZTF,Apparel,Badger,Gildan,Eddie Bauer,3350,3
YYZSM,Baseball,adidas,The Game,Holloway,3471,3
YYZRZ,Dance,Augusta,J. American,Team 365,3368,6
YYZQV,Basketball,Under Armour,adidas,Holloway,4046,3
YYZ3C,Football,Badger,Alleson,Under Armour,1797,5
YYYQQ,Other,Holloway,Augusta,Russell Athletic,2433,8
YYYC2,Tennis,Nike,Badger,adidas,4281,4
YYXZ6,Baseball,Hanes,Misc.,Sport-Tek,1989,10
YYXXD,Wrestling,Holloway,Badger,Cliff-Keen,3177,4
YYXNX,Baseball,Augusta,Pennant Sportswear,Hanes,1815,8
YYXF3,Baseball,ChamPro,Twin City,District Made,2028,6
YYXCG,Cross Country,Port & Company,District Made,Sport-Tek,2159,7
YYX92,Football,Pennant Sportswear,Pennant Sportswear,Sport-Tek,1817,6
YYWX3,Track & Field,adidas,Under Armour,AlphaBroder,2856,3
YYWME,Soccer,Holloway,Holloway,Port & Company,2285,6
YYWHT,Softball,Holloway,New Era,Bella + Canvas,2191,4
YYWC8,Soccer,Gildan,J. American,Holloway,2688,5
YYWBV,Basketball,Gildan,Pennant Sportswear,Augusta,2738,5
YYW8Z,Spirit Wear,Augusta,Gildan,Holloway,1622,5
YYVQ8,Softball,Gildan,Under Armour,Russell Athletic,2238,3
YYVP8,Other,Port & Company,Sport-Tek,Augusta,2044,5
YYVAK,Baseball,Under Armour,Rawlings,Badger,2958,3
YYUVE,Apparel,District Made,Port & Company,Port Authority,1807,6
YYURB,Spirit Wear,Badger,Sport-Tek,Gildan,2190,5
YYUDB,Basketball,Gildan,Antigua,Sportscreen,2046,4
YYU8U,Staff,Holloway,District Made,Port Authority,2421,4
YYU3F,Hockey,Badger,Pennant Sportswear,Boxercraft,4733,7
YYTXA,Hockey,Badger,Badger,Landaway,4046,5
YYTPD,Lacrosse,Under Armour,New Era,J American,4232,5
YYTN7,Wrestling,Holloway,Asics,Badger,4537,4
YYTJK,Lacrosse,Holloway,Sportsman,J. American,3094,6
YYTG7,Baseball,Sport-Tek,Augusta,Holloway,2030,6
YYTD8,Other,Holloway,Delta,Augusta,2591,4
YYTAD,Spirit Wear,Gildan,Port & Company,District Made,1506,3
YYSWA,Lacrosse,Nike,District Made,Sport-Tek,3997,4
YYSUA,Other,Sport-Tek,Port Authority,Red Kap,1593,5
YYSQ2,Baseball,Majestic,Outdoor Cap,ChamPro,131,3
YYSHG,Baseball,Port & Company,Sport-Tek,Pacific Headwear,1513,5
YYS2E,Baseball,Nike,Rawlings,District Made,3004,5
YYRCF,Baseball,Under Armour,Badger,Louisville Slugger,3327,6
YYR28,Other,Badger,Sport-Tek,Port Authority,3534,7
YYQKX,Softball,Under Armour,Carolina Made,Gildan,3072,3
YYQ9V,Baseball,Rawlings,Adams,Mizuno,2216,9
YYQ8W,Staff,Holloway,Holloway,Sport-Tek,3008,5
YYPNP,Other,Port Authority,Gildan,New Era,2669,5
YYP6W,Baseball,Augusta,Rawlings,Twin City,2310,8
YYNCF,Baseball,Russell Athletic,Badger,New Balance,2467,7
YYN7J,School,Augusta,Gildan,Big Accesories,1791,3
YYMZS,Cheer,Sport-Tek,Holloway,Hit Promo,1873,9
YYMYM,Football,Russell Athletic,Under Armour,Sport-Tek,2489,7
YYMTQ,Spirit Wear,Gildan,Misc.,Badger,1416,6
YYMM6,Basketball,Augusta,Port & Company,ASI,3165,3
YYMEM,Field Hockey,Pennant Sportswear,adidas,New Era,2813,6
YYM4P,Softball,Gildan,Badger,Flexfit,1633,8
YYKYD,Softball,Gildan,Pennant Sportswear,Holloway,1837,8
YYKWP,Soccer,Nike,Gildan,Holloway,3089,4
YYKPU,Lacrosse,Port & Company,Pro Feet,Sport-Tek,1663,3
YYK2N,Basketball,Holloway,Augusta,Port & Company,3099,4
YYJX5,Softball,Port & Company,Sport-Tek,Nike,1277,6
YYJUA,Football,Nike,Twin City,Alleson,1740,6
YYJ2W,Baseball,Alleson,Gildan,Pacific Headwear,2772,3
YYHVG,Baseball,Badger,Gildan,Gildan,2030,5
YYHPB,Other,Gildan,Sport-Tek,Holloway,2444,3
YYHGT,Volleyball,Gildan,Port Authority,Boxercraft,1778,7
YYHBR,Basketball,Nike,Badger,Port & Company,3120,3
YYH7P,Volleyball,Gildan,Sport-Tek,Badger,2540,7
YYH53,Football,Badger,Martin Sports,Pennant Sportswear,1999,4
YYGYT,Baseball,Under Armour,Badger,Port & Company,2284,5
YYGP9,Spirit Wear,Under Armour,Badger,Port & Company,2163,3
YYG4Y,Wrestling,Cliff-Keen,Port & Company,Asics,4773,3
YYFP5,Baseball,adidas,Holloway,Mizuno,3673,3
YYFMY,Spirit Wear,Port & Company,Gildan,District Made,1400,3
YYFM5,Baseball,ChamPro,Badger,Rawlings,2511,6
YYFHF,Police Fire & Military,Gildan,CornerStone,Pennant Sportswear,2800,3
YYF7P,Volleyball,Sport-Tek,adidas,District Made,2000,4
YYF6E,Hockey,Holloway,Gildan,Under Armour,2610,9
YYF3J,Spirit Wear,Holloway,A4,ChamPro,1572,6
YYEVQ,Softball,Port & Company,Outdoor Cap,Outdoor Cap,2660,9
YYEQD,Baseball,Under Armour,Marucci,Holloway,4324,7
YYEFH,Track & Field,Port & Company,Sport-Tek,Nike,2272,5
YYDQN,Apparel,Gildan,Holloway,Badger,2116,7
YYDJK,Booster Club,BAW,Port & Company,Holloway,2752,9
YYD86,Baseball,Badger,Russell Athletic,Gildan,2225,5
YYD2F,Spirit Wear,Port & Company,Sport-Tek,Holloway,1515,4
YYCXP,Volleyball,Badger,Port & Company,adidas,1847,4
YYCX4,Other,Gildan,Sport-Tek,Port Authority,1723,7
YYCM6,Football,Holloway,Sport-Tek,Under Armour,2692,7
YYCJ8,Basketball,Nike,Port & Company,Under Armour,4428,4
YYBRY,Baseball,ChamPro,Bauer,Nike,2139,8
YYBKT,Softball,Sport-Tek,adidas,Bella + Canvas,2100,4
YYB4G,PE,Independent Trading Co.,Independent Trading Co.,J. American,2386,4
YYB2T,Baseball,Under Armour,Holloway,Alleson,2459,7
YYAMU,Other,Gildan,UltraClub,Pennant Sportswear,1759,5
YY9SH,Soccer,Badger,Gildan,Sportsman,1914,7
YY9J5,School,Sport-Tek,Port & Company,District Made,1528,5
YY9HM,Apparel,Gildan,Under Armour,Core 365,2296,8
YY99J,Softball,ChamPro,Badger,adidas,1676,3
YY8WQ,Other,Pennant Sportswear,ChamPro,Badger,1860,9
YY8KE,Baseball,Rawlings,Pacific Headwear,Twin City,2381,5
YY8CZ,Apparel,Augusta,Sport-Tek,Ogio,2173,7
YY6XV,Spirit Wear,Pennant Sportswear,Gildan,Port & Company,2744,7
YY6AF,Track & Field,Sport-Tek,District Made,Port & Company,2586,3
YY68T,Wrestling,Gildan,Cliff-Keen,adidas,3545,4
YY65T,Football,Russell Athletic,Alleson,Nike,1977,6
YY5WU,Basketball,Augusta,Sport-Tek,Port & Company,2045,12
YY5T8,Football,Gildan,adidas,ChamPro,1977,4
YY5T6,Volleyball,Carolina Made,Under Armour,Mizuno,1898,4
YY5M9,School,Gildan,Holloway,Badger,1801,5
YY5EX,Soccer,adidas,ASI,Holloway,2188,6
YY5EP,Staff,adidas,Holloway,Gildan,2698,3
YY58V,Basketball,Augusta,Port & Company,adidas,2556,6
YY52W,Softball,Augusta,Twin City,Gildan,1438,6
YY4ZE,Other,Sport-Tek,Gildan,District Made,2322,8
YY4XE,Apparel,Badger,Sport-Tek,Gildan,1478,8
YY4WA,Baseball,Badger,Rawlings,Under Armour,2942,6
YY4JE,Hockey,Bauer,Under Armour,Dangle,5238,5
YY4FD,Apparel,Port & Company,Port Authority,Sport-Tek,2039,7
YY4DD,Baseball,Pacific Headwear,Under Armour,Twin City,2538,12
YY4BU,Other,Bella + Canvas,Bella + Canvas,Flexfit,2323,4
YY43Q,Hockey,Under Armour,ChamPro,Holloway,4233,5
YY43K,Swimming,Badger,Holloway,Pennant Sportswear,3321,5
YY3YA,Softball,Russell Athletic,Pennant Sportswear,Holloway,2114,5
YY3U8,Soccer,Russell Athletic,Holloway,Diadora,2582,6
YY3SX,Baseball,Under Armour,Team Gear,Team Gear,2604,3
YY3PJ,Lacrosse,Holloway,The Game,Augusta,3068,7
YY3DP,Football,Gildan,Port & Company,Sport-Tek,2303,6
YY2Z4,Track & Field,Gildan,Sport-Tek,Holloway,2031,5
YY2X9,Track & Field,Gildan,Sport-Tek,ValuCap,1652,4
YY2TV,Band Music & Choir,Boxercraft,Port Authority,District Made,2348,13
YY2KB,Lacrosse,Gildan,Pacific Headwear,Nike,1740,6
YY2K5,Other,Port & Company,Sport-Tek,Badger,2939,4
YY2E5,Baseball,Rawlings,Gildan,Bella + Canvas,1948,6
YY2D3,Hockey,Under Armour,adidas,Port & Company,3121,3
YY28P,Basketball,Badger,Gildan,Pacific Headwear,2242,4
YXZMS,Cross Country,Holloway,Badger,Sport-Tek,2390,4
YXZDG,Softball,Badger,Holloway,Gildan,2688,6
YXZCC,Hockey,Holloway,Russell Athletic,Gildan,2567,9
YXYVU,Soccer,Badger,Port & Company,Holloway,1915,5
YXYG3,Baseball,Holloway,Port & Company,Augusta,1740,4
YXY7K,Swimming,Holloway,Pennant Sportswear,Boxercraft,3326,5
YXY5W,Volleyball,Mizuno,Under Armour,Nike,3315,4
YXY2H,Tennis,Pennant Sportswear,Sport-Tek,Port Authority,2632,5
YXY2G,Baseball,Rawlings,Athletic Knit,Under Armour,2573,6
YXXVR,Swimming,Pennant Sportswear,Gildan,District Made,2638,6
YXXNH,Basketball,Under Armour,Holloway,Tultex,3323,8
YXWR7,Apparel,Team 365,Holloway,Gildan,2111,4
YXWC7,Cheer,Gildan,District Made,Sport-Tek,2271,5
YXVVT,PE,Badger,Under Armour,Port & Company,1344,3
YXVVJ,Apparel,Augusta,Port & Company,Holloway,1969,4
YXVTJ,Baseball,Rawlings,District Made,Hanes,2942,3
YXVT8,Track & Field,A4,Augusta,Gildan,1251,6
YXV73,Cheer,Gildan,Sport-Tek,Coastal Business,2702,7
YXV5J,Other,Port & Company,Port Authority,New Era,2054,7
YXV2E,Baseball,adidas,ChamPro,ChamPro,2740,5
YXUMF,Other,Gildan,Adams,Augusta,1279,7
YXUKC,Other,Gildan,Port & Company,Tie Dye,1352,6
YXUJZ,Soccer,Under Armour,Pennant Sportswear,Sport-Tek,2565,5
YXUEJ,Corporate,Sport-Tek,Port Authority,J. American,3603,5
YXU2A,Apparel,Augusta,Augusta,Badger,3050,7
YXTZB,Cheer,Augusta,Holloway,SOFFE,2125,4
YXTVE,Field Hockey,adidas,Badger,Grays,2343,3
YXTU2,Baseball,Under Armour,Badger,Gildan,2771,3
YXTG5,Spirit Wear,Augusta,ASI,Bella + Canvas,2025,6
YXTEN,Hockey,Holloway,Under Armour,Alleson,2742,10
YXTDK,Tennis,Sport-Tek,Port & Company,Under Armour,2781,4
YXSYN,Lacrosse,Under Armour,Holloway,District Made,3551,7
YXSUY,Staff,Port Authority,adidas,adidas,3328,4
YXSHQ,Other,Boxercraft,Augusta,Sport-Tek,2470,6
YXSAK,Apparel,Port Authority,Sport-Tek,Gildan,2600,3
YXRZR,Corporate,Port Authority,Augusta,Sport-Tek,2112,4
YXRYV,Wrestling,Gildan,Bella + Canvas,Badger,1990,3
YXR3U,Football,Sport-Tek,Under Armour,Port & Company,2247,6
YXQWY,Soccer,Sport-Tek,Fruit of the Loom,Hanes,1528,6
YXQ4F,Swimming,Zumo,Team Swim Cap,Holloway,3083,6
YXQ3Z,Baseball,Majestic,GAME GEAR,Pacific Headwear,2939,7
YXQ22,Lacrosse,Russell Athletic,Gildan,Under Armour,2095,8
YXPW2,Soccer,Sport-Tek,Sport-Tek,Team 365,2393,6
YXPKN,Football,Badger,Port & Company,Badger,2300,3
YXPH7,Hockey,Under Armour,Z2,Custom,5536,6
YXPCY,Spirit Wear,adidas,District Made,Pacific Headwear,2631,3
YXPB4,Other,Gildan,Port Authority,District Made,1750,5
YXP9P,Field Hockey,AlphaBroder,Holloway,Augusta,2394,4
YXNRC,Hockey,Under Armour,Pennant Sportswear,Bauer,3956,5
YXNG9,School,Gildan,Port & Company,Bella + Canvas,1274,8
YXNEF,Baseball,adidas,Badger,Holloway,2342,6
YXMNG,Basketball,Gildan,Holloway,Augusta,1923,4
YXKR2,Football,adidas,ChamPro,Gildan,1629,7
YXKQ3,Hockey,adidas,Russell Athletic,New Era,2694,8
YXKNR,Other,Port & Company,Custom,New Era,1475,7
YXKKD,Softball,adidas,Sport-Tek,Gildan,3006,6
YXKAC,Soccer,High Five,Twin City,Augusta,1103,3
YXK7U,Other,Bella + Canvas,Augusta,Port Authority,1139,4
YXK6Y,Swimming,Sport-Tek,Badger,New Era,2774,6
YXJ9X,Other,Port Authority,Badger,Sport-Tek,3050,3
YXJ3R,Apparel,Gildan,Bella + Canvas,YUPOONG,1465,3
YXJ2Z,School,Independent Trading Co.,Port Authority,Bella + Canvas,2433,3
YXJ2X,Hockey,Badger,Bauer,Pennant Sportswear,4076,6
YXHBF,Softball,Holloway,Under Armour,Badger,2250,5
YXGX2,Basketball,Holloway,Gildan,Pennant Sportswear,2597,3
YXGU7,Football,Badger,adidas,Bella + Canvas,2000,5
YXGRC,Other,Port & Company,Port Authority,Gildan,2092,3
YXGFZ,Apparel,District Made,Sport-Tek,Ogio,1400,4
YXGFU,Soccer,Xara Soccer,Sport-Tek,--,2063,7
YXGAW,Baseball,Under Armour,New Era,Majestic,3285,7
YXG6A,Softball,Adams,Adams,Mizuno,960,3
YXG37,Baseball,adidas,Twin City,Pukka,2039,6
YXG2M,School,Comfort Colors,Bella + Canvas,A4,1726,5
YXFVG,Basketball,Port & Company,Sport-Tek,Holloway,2361,5
YXFUY,Gymnastics,Gildan,Port & Company,Augusta,2361,4
YXF5H,Baseball,Russell Athletic,Nike,Louisville Slugger,6580,7
YXF58,Apparel,Holloway,Badger,Gildan,2922,13
YXEW2,Soccer,Sport-Tek,Port & Company,Augusta,1909,4
YXEV9,Other,--,Port & Company,District Made,1257,7
YXEJQ,Apparel,Gildan,Augusta,Holloway,1302,5
YXDHX,Softball,Augusta,District Made,Holloway,2335,4
YXDF5,Baseball,Under Armour,Badger,Port & Company,2973,5
YXD6M,Football,Under Armour,Twin City,Holloway,2111,8
YXD2B,Hockey,Bauer,adidas,Under Armour,2439,10
YXCV7,Spirit Wear,Holloway,Pacific Headwear,Holloway,1617,3
YXCSQ,Soccer,Sport-Tek,Gildan,Bella + Canvas,1057,4
YXBXF,Cheer,Gildan,Augusta,Holloway,2316,4
YXBWM,Softball,Twin City,Outdoor Cap,Outdoor Cap,798,6
YXBV3,Track & Field,Badger,adidas,Port & Company,3360,3
YXBTF,Basketball,Port & Company,Sport-Tek,Augusta,1233,3
YXBRV,Soccer,adidas,Badger,ChamPro,2659,4
YXBPU,School,Gildan,Boxercraft,Augusta,1481,6
YXBKC,Corporate,Hanes,Sport-Tek,Red Kap,2260,8
YXBJV,Hockey,Bauer,Under Armour,Boxercraft,4100,5
YXBH4,Cheer,Augusta,Total Spirit,Nfinity,7098,4
YXBEG,Softball,Under Armour,Russell Athletic,Gildan,1962,11
YXBCZ,Dance,A4,Pro Celebrity,Bella + Canvas,1994,4
YXB8J,Camp,Gildan,Bella + Canvas,Fruit of the Loom,856,5
YXB5M,Volleyball,Bella + Canvas,Outdoor Cap,Nike,1885,5
YXB3W,Softball,ChamPro,adidas,Twin City,2196,6
YXARU,Other,Gildan,Bauer,Under Armour,3510,4
YXAPS,Other,Sport-Tek,Port & Company,adidas,1648,4
YXANB,Basketball,Sport-Tek,A4,Gildan,2588,3
YXA9F,Softball,adidas,Twin City,Pennant Sportswear,2513,3
YXA37,Hockey,Bauer,Under Armour,Holloway,3715,10
YX9SA,Gymnastics,Gildan,Bulldog,Pennant Sportswear,2198,3
YX8ND,Lacrosse,Under Armour,District Made,Pacific Headwear,4512,6
YX8HF,Volleyball,Badger,Nike,Gildan,1619,3
YX7ZA,Apparel,Pennant Sportswear,Sport-Tek,Augusta,2900,5
YX7B5,Tennis,Russell Athletic,District Made,Sport-Tek,2612,4
YX796,Volleyball,Gildan,Augusta,Holloway,1921,3
YX779,Football,Nike,Twin City,Shock Doctor,2037,4
YX75R,Soccer,Badger,Russell Athletic,Port & Company,1900,3
YX6XG,Lacrosse,Boathouse,Badger,Under Armour,6956,8
YX6X4,Lacrosse,Russell Athletic,Koi,Flexfit,1573,11
YX6NN,Spirit Wear,Boxercraft,Under Armour,Under Armour,1860,4
YX6MJ,Cross Country,Gildan,Badger,Holloway,2326,4
YX6CR,Baseball,A4,Gildan,Gildan,1417,3
YX68F,Baseball,Russell Athletic,Tag,Under Armour,2133,3
YX67S,Other,Gildan,Eastbay,ALO,2178,4
YX65E,Softball,adidas,Holloway,Augusta,2237,6
YX64T,School,Russell Athletic,Sport-Tek,Pacific Headwear,2038,4
YX63Q,Apparel,Sport-Tek,District Made,Gildan,3056,4
YX5XN,Apparel,Badger,Sport-Tek,District Made,2215,5
YX5W6,Wrestling,Holloway,Badger,Gildan,1547,13
YX57S,Other,Russell Outdoors,Russell Outdoors,American Apparel,2955,5
YX4QA,Apparel,Cutter & Buck,Under Armour,adidas,4765,4
YX4DZ,Lacrosse,Augusta,Port & Company,Port & Company,1873,4
YX4CT,Swimming,Hanes,Holloway,Augusta,1986,5
YX4BH,Basketball,Gildan,Port & Company,Badger,1812,5
YX3XQ,Track & Field,Badger,Team 365,Holloway,2891,7
YX3XK,Baseball,Russell Athletic,adidas,Rawlings,1909,5
YX3HF,Dance,Sport-Tek,Sport-Tek,Augusta,2500,3
YX3DE,Football,Under Armour,Badger,Outdoor Cap,3020,4
YX37B,Apparel,Holloway,Augusta,Flexfit,1601,4
YX2QW,Track & Field,Under Armour,Holloway,Gildan,2726,3
YX2AK,Wrestling,Gildan,Under Armour,Badger,2061,3
YX26B,Apparel,Port Authority,Sport-Tek,Ogio,3663,3
YWZZF,Wrestling,Badger,Holloway,Bella + Canvas,2197,7
YWZNN,School,Hanes,Port & Company,Sport-Tek,2214,4
YWZEQ,Wrestling,Sport-Tek,New Era,Port & Company,2799,6
YWYX6,Volleyball,Gildan,Badger,Tultex,2322,4
YWYVW,Soccer,Sport-Tek,Holloway,adidas,2513,4
YWYS5,Softball,Under Armour,Sport-Tek,Nike,4178,3
YWYRJ,Other,Russell Athletic,Gildan,A4,1765,7
YWYM4,Football,Russell Athletic,Augusta,Gildan,2172,7
YWYGD,Basketball,Gildan,Russell Athletic,Sport-Tek,1864,6
YWYBR,Wrestling,Under Armour,Badger,New Era,3380,3
YWYAF,Hockey,Sport-Tek,Under Armour,New Era,2796,5
YWXZK,Baseball,Gildan,Alleson,Mizuno,2580,11
YWXNR,Tennis,Gildan,adidas,The Game,2786,6
YWXJH,Other,Port & Company,Gildan,Sport-Tek,2033,4
YWXG6,Football,adidas,Gildan,Bella + Canvas,1937,11
YWXAU,Basketball,Nike,District Made,Sport-Tek,2882,4
YWX2J,Softball,Holloway,Badger,Sport-Tek,4422,3
YWWYD,Track & Field,Port & Company,Port Authority,Sport-Tek,1688,4
YWWD9,Apparel,Port Authority,Gildan,Sport-Tek,2578,8
YWW75,Football,Bella + Canvas,UltraClub,A4,1916,11
YWVXU,Softball,ChamPro,Alleson,Port & Company,2562,9
YWVRV,Football,Bolt Athletics,Gildan,Under Armour,2119,4
YWVNG,Soccer,Holloway,Under Armour,Port & Company,2676,4
YWVGU,Softball,High Five,Outdoor Cap,Pukka,1353,4
YWVGM,Dance,Holloway,Bella + Canvas,adidas,2100,13
YWV6F,Other,Shirt Shack,Gildan,Augusta,1312,4
YWUCV,Volleyball,Asics,Mizuno,Asics,1963,4
YWTTS,Football,Augusta,Badger,AlphaBroder,2500,7
YWTMS,Basketball,Port & Company,Russell Athletic,Stadium Chair Co.,2732,5
YWTK8,Football,Under Armour,Sport-Tek,District Made,3250,6
YWSUJ,Softball,Gildan,UltraClub,Sport-Tek,1583,3
YWSQY,Football,Nike,Schutt,Cutters,4290,3
YWSMC,Corporate,Sport-Tek,Tri-Mountain,Ogio,2625,5
YWSHA,Basketball,Nike,Augusta,Holloway,2535,5
YWRWG,Track & Field,Nike,Holloway,Port & Company,3051,4
YWRN6,Softball,Holloway,Gildan,Russell Athletic,1980,5
YWRG7,Apparel,Pennant Sportswear,Pennant Sportswear,Holloway,4425,3
YWRB4,Basketball,Under Armour,Sport-Tek,Port & Company,2853,5
YWR7Y,Track & Field,Holloway,Alleson,The Game,3700,4
YWR29,Football,Russell Athletic,Alleson,Pukka,3252,4
YWQXC,Cheer,Alleson,Under Armour,Badger,2029,4
YWQ2H,Baseball,Augusta,A4,Russell Athletic,2912,8
YWPYS,Softball,Port & Company,Holloway,New Era,2539,5
YWPP4,Cross Country,Russell Athletic,Under Armour,Holloway,1783,4
YWPDY,Volleyball,Pennant Sportswear,Holloway,Gildan,2329,10
YWP52,Other,Pennant Sportswear,Badger,Badger,3532,9
YWNM2,Baseball,Port & Company,Augusta,Sport-Tek,2965,4
YWND5,Other,Sport-Tek,Port Authority,Holloway,3958,6
YWMKV,Swimming,Better Times,Gildan,Augusta,1922,7
YWMKF,Football,Gildan,Port & Company,The Final Touch,1632,3
YWK7E,Spirit Wear,Under Armour,Port & Company,Holloway,3367,7
YWJXX,Hockey,Bauer,New Era,Okay Sports,3456,6
YWJU8,Spirit Wear,Port Authority,District Made,Sport-Tek,2608,4
YWJMV,Lacrosse,Sport-Tek,Augusta,Badger,2125,3
YWJJZ,Wrestling,Gildan,Badger,Sport-Tek,2079,3
YWJGN,Soccer,adidas,Gildan,Badger,3092,4
YWHFU,Lacrosse,Sport-Tek,Under Armour,Hanes,2485,11
YWHEJ,Spirit Wear,Gildan,Under Armour,Holloway,2132,3
YWH5F,Lacrosse,--,Adrenaline,ValuCap,1345,3
YWGCR,Basketball,Sport-Tek,Gildan,Badger,2134,3
YWG99,Softball,Sport-Tek,Badger,Under Armour,1691,6
YWG5P,School,Port & Company,District Made,Gildan,1871,3
YWG3R,Soccer,adidas,C2 Sports,ChamPro,2083,10
YWG38,Football,Under Armour,Shock Doctor,Tag,3245,4
YWFY3,Track & Field,Gildan,Sport-Tek,Nike,3061,11
YWFUM,Football,Hanes,Russell Athletic,Tag,1221,5
YWFKW,Football,Under Armour,Russell Athletic,Nike,2235,5
YWFJJ,Hockey,Badger,Bauer,UNRL,4023,4
YWFFE,Spirit Wear,Gildan,District Made,Hanes,1800,9
YWFBZ,Other,Gildan,Port & Company,Port Authority,1563,7
YWFAQ,Dance,Gildan,Port & Company,Holloway,2150,9
YWEWD,School,Gildan,Port & Company,Sport-Tek,3303,5
YWEFP,Football,Rawlings,Nike,Cutters,2395,5
YWEFF,Football,Schutt,Sportstar,Xenith,20300,3
YWEAX,Other,Pennant Sportswear,Gildan,Badger,2608,4
YWEAB,Other,Sport-Tek,Gildan,Pacific Headwear,1450,3
YWE5U,Spirit Wear,Port & Company,Gildan,Nike,1691,5
YWDUH,Corporate,Port & Company,Sport-Tek,District Made,2423,6
YWDFR,Cross Country,adidas,Gildan,Holloway,2860,3
YWDF9,Corporate,Sport-Tek,J. American,Holloway,3793,5
YWDAE,Booster Club,Under Armour,Stadium Chair Co.,Holloway,3127,3
YWD7X,Volleyball,Sport-Tek,Bodek,Gildan,2115,3
YWCN3,Wrestling,Gildan,Badger,Sport-Tek,2213,7
YWCJY,Baseball,Under Armour,Rawlings,Mizuno,2558,5
YWCH7,Gymnastics,Sport-Tek,Gildan,Under Armour,2279,4
YWCH4,Cross Country,Gildan,Augusta,Sport-Tek,2273,8
YWCAP,Wrestling,Gildan,Sport-Tek,New Era,1944,4
YWC5W,Staff,Sport-Tek,District Made,Nike,2275,6
YWC3K,Lacrosse,Under Armour,Pennant Sportswear,Badger,2816,6
YWBNP,Track & Field,Gildan,Sport-Tek,Augusta,1821,7
YWBEK,Baseball,Nike,A4,Bella + Canvas,2684,4
YWB7W,Swimming,Nike,Port & Company,District Made,2376,4
YWAUD,Track & Field,Sport-Tek,Badger,Port & Company,2842,4
YWAK6,Wrestling,Port & Company,Sport-Tek,Badger,2074,10
YWAJ7,Baseball,Sport-Tek,Gildan,Twin City,1766,6
YW9YX,Other,Port Authority,UltraClub,Bodek and Rodes,2876,10
YW9ES,Soccer,Under Armour,Holloway,Badger,1835,5
YW9CN,Other,Gildan,Sport-Tek,Port Authority,1122,4
YW98Z,Softball,Badger,Port & Company,Pacific Headwear,1802,7
YW946,Gymnastics,Under Armour,Port Authority,Gildan,4104,3
YW8ZK,Baseball,High Five,Holloway,Mizuno,3081,6
YW8YD,Baseball,ChamPro,adidas,District Made,2032,6
YW8UY,Swimming,Under Armour,TYR,Holloway,3424,6
YW8K3,PE,Badger,Gildan,Holloway,1792,3
YW8HS,Baseball,Badger,Sport-Tek,District Made,1661,14
YW8GE,Hockey,Holloway,Under Armour,Pennant Sportswear,4418,8
YW8GB,Wrestling,Under Armour,Gildan,Augusta,2256,12
YW8CV,Dance,Boxercraft,Gildan,Ogio,2698,12
YW87Q,Basketball,Holloway,Gildan,A4,2025,4
YW6WE,Softball,Gildan,Rawlings,Boxercraft,1744,7
YW6TD,Softball,Tag,Nike,Sport-Tek,2241,8
YW6H6,Other,Ogio,Red House,Nike,4420,3
YW693,Other,Bella + Canvas,J. American,ValuCap,1830,9
YW5YV,Wrestling,Pennant Sportswear,Sport-Tek,Gildan,2188,7
YW5W8,Baseball,Badger,Gildan,Port Authority,1910,4
YW5PF,Basketball,Under Armour,Sport-Tek,Sport-Tek,4258,3
YW58P,Softball,Gildan,Sport-Tek,none,1828,8
YW4R3,Volleyball,Russell Athletic,Mizuno,Boxercraft,2875,5
YW4QM,Volleyball,Gildan,Bella + Canvas,Holloway,1008,3
YW3B6,Staff,Under Armour,District Made,Sport-Tek,4687,4
YW2V3,Apparel,Tultex,Bella + Canvas,Pennant Sportswear,1729,5
YW2EE,Lacrosse,Nike,502 Socks,Alleson,3098,10
YW2B2,Soccer,Gildan,adidas,Badger,922,3
YVZXD,School,Gildan,Sport-Tek,Port & Company,1428,5
YVZW9,Soccer,adidas,Agron,SCENTURION,2198,3
