Sale Code,Activity,1st Brand,2nd Brand,3rd Brand,Average Product Price,Brand Count
ZYGMJ,Volleyball,Pennant Sportswear,Boxercraft,Gildan,2658,4
ZYFTN,Hockey,Badger,Under Armour,Custom,4850,5
ZYFT9,Football,Holloway,Sport-Tek,Russell Athletic,1759,5
ZYFJY,Baseball,Gildan,Sport-Tek,Bella + Canvas,1759,5
ZYFHW,Other,Holloway,Augusta,Badger,2797,6
ZYERG,Basketball,Gildan,C2 Sports,Port & Company,1295,3
ZYEG8,Dance,District Made,Augusta,ASI,1835,6
ZYE7Q,Baseball,Badger,Pacific Headwear,Gildan,1742,7
ZYDYR,Spirit Wear,Gildan,Outdoor Cap,Outdoor Cap,1969,10
ZYDW4,Apparel,Gildan,Badger,Under Armour,2097,5
ZYDM8,Apparel,Bella + Canvas,Sport-Tek,Sport-Tek,1480,5
ZYDFA,Volleyball,Bella + Canvas,Under Armour,Port & Company,2331,4
ZYD5Z,Dance,Port & Company,Bella + Canvas,Gildan,1998,5
ZYD5J,Apparel,Port Authority,Sport-Tek,Red House,3129,6
ZYD4J,Baseball,Badger,Alleson,Under Armour,2436,6
ZYCXJ,School,District Made,Port & Company,Gildan,2167,3
ZYCMB,Wrestling,Badger,Pro-Look,Prolook,2003,12
ZYCG2,Wrestling,Sport-Tek,SOFFE,A4,3474,6
ZYCFE,Baseball,adidas,Wilson,Russell Athletic,4187,3
ZYBUE,Spirit Wear,Port & Company,District Made,Sport-Tek,1316,7
ZYBQ8,Basketball,Gildan,UltraClub,Sport-Tek,1365,3
ZYAYE,Lacrosse,Holloway,Under Armour,Sport-Tek,3330,5
ZYAHM,Soccer,Pennant Sportswear,adidas,adidas,3748,6
ZYABW,Hockey,Under Armour,Sport-Tek,27 Sports,3330,4
ZYABM,Cheer,Augusta,Gildan,Holloway,2535,12
ZYA99,Hockey,Bauer,Holloway,S&S,2403,5
ZYA5B,Baseball,Sport-Tek,Sport-Tek,Pennant Sportswear,2415,6
ZYA38,Basketball,Sport-Tek,Holloway,Under Armour,2686,9
ZY9UG,Baseball,Gildan,Under Armour,"Team Connection, Inc.",1674,4
ZY9R3,Field Hockey,Augusta,Holloway,Holloway,1854,5
ZY9QM,Tennis,adidas,Sport-Tek,Augusta,3246,4
ZY9KV,Swimming,Gildan,Pacific Headwear,Sport-Tek,2553,7
ZY9JH,Baseball,Gildan,Protime Sports,Pacific Headwear,1507,4
ZY9GN,Baseball,Gildan,Rawlings,Sport-Tek,2295,8
ZY9DX,Softball,Badger,Port & Company,Holloway,1856,7
ZY9AG,Baseball,Port & Company,Sport-Tek,Alternative,3300,3
ZY98W,Wrestling,Pennant Sportswear,Gildan,Asics,2335,5
ZY935,Softball,Gildan,Under Armour,Badger,1655,3
ZY8ZX,Baseball,ChamPro,Twin City,Mizuno,2523,8
ZY8Z7,Spirit Wear,Gildan,Holloway,Pennant Sportswear,2002,7
ZY8GB,School,Port Authority,Sport-Tek,Gildan,2525,7
ZY8CB,Softball,Gildan,Pennant Sportswear,Badger,2104,7
ZY848,Apparel,Sport-Tek,Holloway,Port Authority,3302,3
ZY7HQ,Spirit Wear,Sport-Tek,Gildan,Port Authority,2100,5
ZY6PH,Cross Country,Badger,Gildan,Port & Company,1772,4
ZY6BH,Softball,Mizuno,Nike,Alleson,3538,4
ZY5NS,Corporate,Sport-Tek,Sport-Tek,Nike,3261,4
ZY5DD,Other,Gildan,District Made,Sport-Tek,1950,4
ZY52Z,School,Sport-Tek,District Made,New Era,2470,3
ZY4U9,Swimming,MegaCap,MegaCap,Burnside,2237,11
ZY3MM,Softball,A4,Twin City,District Made,1550,5
ZY378,Staff,Gildan,Holloway,Under Armour,2703,5
ZY2PQ,Spirit Wear,High Five,Port & Company,Holloway,2743,5
ZY2B6,Booster Club,Augusta,Port & Company,Under Armour,1583,9
ZY27E,Other,Badger,Gildan,Outdoor Cap,1814,5
ZXZZQ,Softball,adidas,Easton,Twin City,1040,6
ZXZFN,Apparel,Badger,Port Authority,UltraClub,2048,4
ZXZAZ,Volleyball,Bella + Canvas,Sport-Tek,Boxercraft,3361,4
ZXZ2A,Hockey,Port & Company,Pennant Sportswear,Badger,3037,8
ZXYWS,Other,Eddie Bauer,Sport-Tek,VOS Sports,2975,5
ZXYDT,School,Sport-Tek,adidas,Port Authority,2786,3
ZXYBB,Track & Field,Russell Athletic,Under Armour,Sport-Tek,2434,5
ZXY3D,Basketball,Gildan,Holloway,Augusta,1874,3
ZXXQV,Baseball,Port & Company,Sport-Tek,Holloway,1581,5
ZXXMQ,Baseball,Sport-Tek,Port & Company,Augusta,1827,4
ZXXE5,Other,Port Authority,Sport-Tek,District Made,2619,5
ZXX63,Baseball,Rawlings,Under Armour,Badger,3027,3
ZXWJS,Softball,Gildan,Sport-Tek,Under Armour,1662,3
ZXWBV,Spirit Wear,Pacific Headwear,Sport-Tek,Holloway,2118,8
ZXW6J,Baseball,Under Armour,New Era,Twin City,2504,4
ZXW2F,Gymnastics,Sport-Tek,District Made,Port & Company,2981,7
ZXVK2,Basketball,Augusta,Badger,Under Armour,2929,7
ZXUUC,Swimming,Gildan,C2 Sports,Port & Company,2192,6
ZXU8N,Lacrosse,Under Armour,Badger,Gildan,3447,6
ZXTN2,Hockey,Gildan,Sport-Tek,Port Authority,2333,5
