Stores Sale Code,Stores Normalized Activity,Stores Has Theme (Yes / No),Stores Opens At Month Name,Stores Days Open,User Built By Omg (Yes / No),Stores Products Offered Sum,Products Count Products,Products Count Brands,Orders Count Orders,Transactions Net Units
Z6S3F,Apparel,No,August,26,No,17,11,4,4,15
XQXFY,Softball,No,May,7,No,15,12,4,39,135
ZJGCV,Corporate,Yes,April,35,Yes,14,13,5,497,891
ZJFSW,Fundraiser,No,August,25,No,25,17,6,37,123
ZFJD3,Apparel,No,October,22,No,37,3,1,15,17
YCQY5,School,No,October,28,No,25,20,6,26,71
Z8QVA,Softball,Yes,February,16,No,92,39,9,23,73
Z6TNJ,Basketball,No,November,15,No,29,18,4,15,40
ZJ3QH,Football,No,March,13,No,2,2,2,22,24
ZJYD4,Football,No,August,9,No,15,10,3,21,101
YZ7JG,Softball,No,May,15,No,26,18,9,33,123
YS96S,Cheer,No,August,6,No,2,1,1,9,9
ZQABX,Softball,No,January,11,No,7,6,1,33,86
YR2P9,Lacrosse,No,April,12,No,5,5,2,10,22
ZZTJ9,Spirit Wear,No,October,31,No,21,10,2,8,18
ZANGR,Hockey,No,November,9,No,18,14,5,30,100
YUZSA,Soccer,No,August,40,No,10,10,4,21,72
XT3P8,Other,Yes,January,59,No,20,13,4,15,36
ZTHXA,Band Music & Choir,No,January,3,No,22,10,6,31,72
ZJKTK,Field Hockey,Yes,June,42,No,19,16,5,30,153
ZJZ5Q,Swimming,No,September,11,No,20,9,3,14,34
YV8XT,Other,No,November,15,No,14,7,3,24,36
XNM74,Spirit Wear,No,October,49,No,56,42,12,74,205
Y83KC,Other,No,January,15,No,9,8,4,11,47
XXFQR,Wrestling,No,October,20,Yes,24,20,7,37,186
ZY843,Other,Yes,October,22,No,9,5,1,4,8
YMG8Q,Softball,No,September,10,No,8,5,2,7,19
Y9JKE,Band Music & Choir,No,December,10,No,58,32,7,34,54
YVKXX,Field Day,No,April,19,No,10,9,3,27,43
Y63US,Softball,No,April,6,No,34,2,2,10,19
XUCYS,Tennis,No,August,12,No,9,5,2,4,6
YNBE4,Volleyball,No,October,6,No,4,2,1,20,24
ZZ5E2,Football,No,June,11,No,105,38,3,18,79
YP9NM,Baseball,No,January,13,Yes,31,24,1,23,93
XPN89,Fundraiser,No,March,7,No,2,2,1,6,24
Z9Y2W,Soccer,No,September,5,No,6,5,1,7,18
XPX6F,Apparel,No,July,10,No,4,3,2,4,19
ZKWFX,Spirit Wear,Yes,February,25,Yes,26,22,3,41,66
Y8NDE,Baseball,No,February,14,No,27,1,1,1,1
XSQU6,Corporate,No,August,47,No,5,3,3,5,9
ZQDVX,Softball,No,February,16,No,3,2,1,88,279
XG7CA,Other,No,September,31,Yes,9,9,5,42,119
XZTPF,Baseball,No,January,30,No,76,22,6,45,315
ZDMB6,Field Hockey,Yes,September,33,No,5,4,1,12,18
ZP2BM,Football,No,September,5,No,14,3,2,13,25
YZ9MJ,Soccer,No,November,10,No,28,9,3,51,135
YTZGK,Basketball,No,November,19,No,7,7,4,61,95
ZYATG,Football,No,August,7,No,11,9,1,11,37
Y3MQJ,Tennis,No,August,17,No,7,6,4,13,25
ZMQ2F,Softball,Yes,January,41,No,20,11,6,8,25
XXF2F,Apparel,No,December,27,No,6,1,1,33,34
XHYRH,Cross Country,No,June,83,No,28,14,5,28,54
XR9A5,Volleyball,Yes,January,13,No,64,16,8,15,57
Y58A4,Track & Field,No,February,20,No,13,3,1,5,16
XN29B,Baseball,No,May,13,No,12,12,4,45,129
XJXXD,Other,No,July,24,Yes,4,4,1,21,28
XUAYK,Spirit Wear,No,November,9,No,8,4,1,8,18
XEVC8,Soccer,No,June,38,No,68,67,2,121,1336
XKZK5,Other,Yes,January,40,No,30,6,4,6,9
YYRJE,Soccer,No,December,26,No,19,14,2,28,228
ZVWGC,Fundraiser,No,December,32,No,6,3,1,7,9
YGWG9,Volleyball,No,December,36,No,21,15,11,23,32
XQTF8,Softball,No,March,7,No,18,5,4,1,7
YU5QB,Other,No,May,30,No,25,21,3,36,72
ZFMQ8,Other,No,September,26,No,12,6,4,3,7
XGC73,Tennis,Yes,July,32,No,13,8,6,18,36
XE97E,Water Polo,No,August,18,No,6,1,1,17,17
ZV939,Softball,No,February,13,No,14,11,2,14,39
ZGNRK,Volleyball,No,August,6,No,11,9,4,25,96
ZE89D,School,Yes,January,13,No,5,5,2,24,61
YXAGG,Apparel,No,January,13,No,93,61,19,103,505
ZXQES,Band Music & Choir,No,August,15,No,18,8,3,12,33
YW73S,Other,No,January,10,No,4,3,2,285,284
ZVCXD,Softball,No,May,8,No,27,26,13,40,150
Z8XNV,Greek,No,October,10,No,1,1,1,27,28
YVGQY,Booster Club,No,August,11,No,12,12,4,46,117
YDZVD,Dance,No,August,29,No,16,9,3,7,16
XZ3EE,Baseball,No,October,6,No,24,9,5,5,11
ZXGCQ,Apparel,Yes,December,27,No,4,4,3,4,15
Z4PKM,Other,No,May,26,No,14,11,5,21,22
XNPPH,Other,No,February,18,No,10,10,4,75,97
YENJZ,Other,No,August,0,No,6,3,2,8,32
YBFFD,Basketball,No,October,55,No,14,4,1,7,39
XGA6H,Soccer,No,August,17,No,10,6,6,9,31
YNUXJ,Lacrosse,No,October,35,No,23,7,4,4,10
Z93QX,Track & Field,No,February,17,No,56,19,6,42,91
YYWC8,Soccer,No,September,13,No,16,7,5,17,44
YVESJ,Other,No,June,61,No,8,2,1,3,3
Z7W4C,Soccer,No,February,17,No,19,9,7,27,79
YE2C2,School,No,May,106,No,16,16,4,85,225
YHHYP,School,No,April,12,No,10,9,4,20,32
XRY5H,Fundraiser,No,December,32,No,6,4,2,11,13
XMH35,Baseball,No,August,23,No,5,4,3,13,23
YZ7RS,Spirit Wear,No,September,18,No,2,2,1,7,7
XRJ2E,Spirit Wear,Yes,October,31,Yes,4,1,1,1,1
Y3KJZ,Football,No,May,18,Yes,15,14,7,38,124
XDR6V,Other,No,June,6,No,13,9,5,14,27
Y8NVU,Softball,No,February,6,No,17,12,5,17,51
ZGQCU,Spirit Wear,No,December,29,No,24,1,1,1,1
ZXB3N,Basketball,No,October,18,No,21,19,5,36,103
XMUV3,Swimming,No,November,20,No,6,3,2,17,38
XT4AB,Lacrosse,No,September,40,No,13,12,2,13,49
XK9SS,Basketball,No,November,18,No,17,13,4,22,59
XVZSB,Soccer,Yes,February,15,No,24,8,3,20,62
XVJJF,Soccer,No,March,1,No,9,9,3,4,27
YE7F8,Other,No,December,16,No,22,12,5,10,29
ZBCT9,Cross Country,No,July,142,Yes,14,8,2,23,37
ZE8UD,Other,No,May,27,Yes,29,28,16,140,4932
XXVM8,Other,No,May,14,No,9,8,2,6,0
ZXRA5,Soccer,No,June,70,No,16,15,5,24,93
ZSQEJ,Apparel,No,August,20,No,6,6,1,33,42
XFJUV,Swimming,No,August,27,Yes,22,10,3,26,67
ZE8YQ,Lacrosse,No,March,0,No,9,4,2,1,4
XENRC,Basketball,No,October,20,No,27,10,4,11,26
ZYH4E,Baseball,No,February,21,No,13,9,3,7,21
YS92Q,Cheer,No,September,13,Yes,4,3,1,8,28
YZW4X,Cheer,Yes,September,18,No,27,4,3,12,38
ZGSDJ,Dance,No,November,6,No,7,4,4,21,49
XJJWZ,Wrestling,No,February,5,No,8,7,2,30,100
Z3A5P,Baseball,No,February,19,No,18,8,5,2,0
YNXK2,Lacrosse,Yes,February,13,No,19,15,10,42,126
YMNMQ,Cheer,No,August,13,No,16,11,3,13,25
ZX9XM,Lacrosse,No,November,20,No,3,1,1,8,0
ZQFTM,Baseball,No,November,12,No,60,36,9,51,168
ZXC8F,Apparel,No,March,7,No,9,4,2,21,38
YKX53,Volleyball,No,September,11,No,23,12,5,22,44
Y6TVW,Other,No,June,118,No,21,5,2,13,15
ZPGEK,Baseball,No,May,10,No,8,6,5,10,34
ZAWHD,Softball,Yes,January,13,No,18,16,1,26,81
XEBKZ,Spirit Wear,Yes,February,19,No,7,4,3,23,30
YBT2H,Apparel,No,January,33,No,1,1,1,9,15
Z46BS,Faith,No,October,46,No,11,10,2,9,17
Y9P55,Baseball,No,October,13,No,42,26,1,57,277
XPADG,Wrestling,No,November,18,No,46,22,9,30,97
Y8UE5,Spirit Wear,No,August,17,No,14,12,3,9,36
YUD7S,School,No,October,8,No,10,3,3,4,6
Z8ZMY,Other,No,February,12,No,9,5,5,19,27
ZC8AH,Ultimate Frisbee,No,May,2,No,1,1,1,15,17
ZPMEM,Other,No,June,7,No,2,2,2,20,34
YZV78,Apparel,No,January,19,No,15,8,3,6,0
YH9G9,Other,No,April,208,No,14,1,1,1,1
YRBSH,Hockey,Yes,January,16,No,10,3,1,14,40
XHHKJ,Volleyball,No,July,17,No,25,12,2,25,98
XT9W8,Basketball,No,November,49,No,3,3,1,9,18
YSRKU,Spirit Wear,No,August,39,No,15,12,4,92,190
Y6EYF,Booster Club,No,September,36,No,44,30,1,31,80
Y6SCA,Volleyball,No,January,6,No,5,4,2,29,68
XSWQ2,Cross Country,No,September,34,No,6,6,2,34,54
ZRYMD,Apparel,No,April,29,No,45,4,2,1,5
YAN5G,Football,No,September,27,Yes,8,3,1,29,58
XQMB9,Spirit Wear,No,August,40,No,10,10,3,55,139
YA3QE,Field Day,No,September,36,No,7,3,3,12,18
YZ62B,Apparel,No,June,6,No,3,3,3,31,67
XKHF7,Baseball,No,January,60,No,19,16,8,48,153
Y36W9,Apparel,No,March,2,No,49,29,8,21,85
XVZHV,Baseball,No,January,13,No,24,13,2,26,55
XP5F8,School,No,September,18,No,17,4,3,6,11
ZSNN9,Wrestling,No,October,27,Yes,4,4,1,25,69
ZU6ZB,Cheer,No,October,3,No,10,5,2,5,15
XN2GF,Baseball,Yes,January,43,No,19,12,3,17,101
Y6D4P,Soccer,No,August,16,No,17,9,3,16,41
ZXF85,Medical,Yes,August,6,No,25,3,1,2,3
XV29Z,Swimming,No,November,11,No,23,10,7,17,50
ZGKW8,Greek,No,December,1,No,2,2,1,67,82
Y2JUG,Baseball,No,January,25,No,14,9,5,14,32
YMTPP,School,No,October,39,No,15,6,4,20,23
YC8GQ,Other,Yes,July,24,No,24,13,1,12,31
XH5BN,Hockey,No,July,43,No,5,5,2,30,62
Y9UME,Apparel,No,October,31,No,28,25,11,77,137
XXPX5,Other,No,November,58,No,7,6,1,38,46
Z39BD,Track & Field,Yes,January,19,Yes,15,14,1,33,105
YSD4P,Basketball,No,March,8,No,19,4,3,2,5
ZTS3Q,Apparel,No,September,19,No,19,4,3,2,4
ZKQ3N,Basketball,No,October,18,No,15,11,1,16,62
XRZXY,Apparel,No,May,9,No,6,6,5,8,16
Y9QZP,Apparel,No,August,28,No,10,9,4,9,23
YN549,Volleyball,No,August,37,No,24,11,1,9,24
XJH38,Other,No,September,5,No,6,4,1,21,50
XFA42,Basketball,No,March,3,No,19,5,2,12,25
ZMEFH,Spirit Wear,No,September,37,No,5,5,2,30,51
ZFD6C,Hockey,No,August,7,No,39,31,3,76,274
YCJ7G,Basketball,No,May,10,No,15,6,1,6,0
YCPPB,Baseball,No,October,7,Yes,13,12,1,32,137
ZP237,Soccer,No,June,53,No,4,4,3,25,61
YHQX2,Football,No,July,28,No,34,21,5,10,45
YHTPF,Baseball,No,February,28,No,22,20,9,35,152
ZHMWU,Basketball,Yes,September,31,Yes,16,13,2,43,167
XSGNN,Cheer,Yes,August,7,No,26,8,3,9,13
XQFET,Baseball,Yes,February,24,No,26,19,6,26,106
ZRPHS,Baseball,No,August,14,No,16,14,6,35,196
YU5Y8,Other,No,October,21,No,66,38,7,60,482
YKK8R,Lacrosse,No,August,31,No,8,4,2,2,6
Z64A9,Apparel,No,April,22,No,24,17,6,29,70
ZDJHU,Baseball,Yes,February,13,No,35,27,13,27,100
XX44P,Volleyball,No,June,17,No,24,12,6,10,19
YSYTH,Baseball,No,February,21,No,23,17,1,22,93
Y9A7M,Apparel,No,September,29,No,17,9,4,28,40
XW6D7,Volleyball,No,September,9,No,3,1,1,71,92
XE5QA,Medical,No,January,7,No,7,7,2,28,112
ZG3RR,Soccer,No,August,13,No,21,12,4,11,36
YTG7S,Spirit Wear,No,September,33,No,28,16,4,50,68
ZZC57,Athletics,No,September,13,No,11,9,1,10,46
ZVA8G,Other,No,November,14,No,67,15,7,8,21
XR6W5,Volleyball,No,September,6,No,13,4,4,2,5
XN4C5,Football,No,June,38,No,6,2,1,1,14
XGS39,Other,No,February,18,Yes,6,5,1,13,19
Y73RG,Volleyball,No,September,8,No,25,11,4,7,12
XPZUD,PE,No,February,13,No,5,2,1,3,7
YCPJ5,Apparel,No,May,245,No,24,2,2,1,2
Y6D9X,Tennis,Yes,February,13,No,13,10,2,8,30
Z2BF5,Other,No,May,7,No,5,2,2,2,4
YGWCC,Basketball,No,October,24,No,13,11,5,8,23
Y4WE4,Swimming,No,November,19,No,18,17,4,46,116
ZCK7Q,Spirit Wear,No,October,31,No,5,5,1,42,84
XZ2PM,Basketball,No,October,16,No,15,13,6,67,228
YZ9JF,Volleyball,No,January,6,No,19,12,3,15,45
XYQ65,Football,No,August,18,No,15,12,2,12,75
ZCEZH,Holiday,No,November,9,No,32,11,6,11,23
XTZD6,Volleyball,No,January,18,No,31,20,6,21,75
YWVQC,Wrestling,No,November,17,No,7,6,2,12,39
Y4SXH,Volleyball,Yes,August,12,No,13,9,5,18,38
ZRFZR,Other,No,October,36,No,40,19,5,93,142
YJFTK,Spirit Wear,No,September,28,No,40,2,2,1,0
YBXYH,Holiday,No,October,21,Yes,25,22,5,17,58
Y95RN,Apparel,No,November,21,No,20,9,8,12,17
YTNDP,Volleyball,No,May,22,No,8,8,2,23,70
ZK8U5,Softball,No,January,53,Yes,49,34,11,38,162
Z5SDU,Spirit Wear,No,July,10,No,31,21,8,27,61
ZHRDY,Other,No,August,23,No,1,1,1,9,13
YE5AA,Baseball,No,April,4,No,6,3,1,2,4
YCBCY,Softball,No,April,8,No,18,10,3,6,24
Y2FXV,Reunion,No,August,31,No,3,1,1,5,0
Y6MPC,Hockey,No,October,13,No,11,7,5,15,29
XMNE6,Volleyball,No,December,49,No,16,12,3,11,32
Z9DH5,Tennis,Yes,April,16,No,13,2,2,2,3
XZH4A,Other,No,August,23,No,22,3,2,3,19
ZU6SA,Corporate,No,October,15,Yes,10,9,3,138,149
ZMSR3,Wrestling,Yes,August,15,Yes,7,7,1,21,67
ZBWXQ,Softball,No,April,8,No,9,8,4,10,23
YMMYP,Baseball,Yes,February,9,No,15,13,5,10,56
ZC6Z4,Golf,No,March,13,No,18,9,6,7,20
ZFZM9,Apparel,No,August,17,No,22,4,4,1,5
ZXKJA,Softball,No,February,9,Yes,8,1,1,2,2
ZKR2W,Volleyball,No,August,5,No,5,5,1,19,58
Y7BDB,Band Music & Choir,Yes,July,35,No,23,17,9,91,184
ZFCUR,Swimming,No,October,22,No,40,23,2,19,42
ZWUDJ,Football,No,August,11,No,17,16,4,25,88
Z2QZZ,Track & Field,No,January,29,Yes,10,8,4,20,57
ZTR6K,Field Day,No,April,23,No,2,2,1,58,76
XEZCT,Baseball,No,February,18,No,28,13,5,47,252
YMQ86,Apparel,No,December,30,No,7,6,1,5,17
XNQ6H,Tennis,No,October,2,Yes,4,4,1,18,41
ZFNE7,Other,No,May,6,No,7,6,5,17,57
XM484,School,No,November,26,No,19,6,3,5,12
YX6MJ,Cross Country,No,August,13,No,9,8,4,21,69
ZTA3K,Track & Field,No,February,24,No,7,7,3,27,52
YCE8E,Baseball,No,June,12,No,1,1,1,1,1
ZUPQA,Spirit Wear,No,December,23,No,37,9,7,6,18
YCDSE,Basketball,No,October,19,No,9,7,5,23,66
XFHNH,Wrestling,No,October,33,No,13,5,1,6,0
YNEAK,Other,No,September,85,No,6,6,3,14,19
YWH5F,Lacrosse,No,August,20,No,37,16,3,23,117
ZTCKC,Wrestling,No,December,20,No,5,5,3,7,27
YGEDZ,Baseball,No,January,23,No,46,23,6,26,84
YNVEY,Other,No,May,10,No,24,2,1,1,2
ZHVJE,Apparel,No,September,18,No,13,8,6,6,15
YBBTV,Football,No,May,48,No,27,20,8,35,156
Z4FCC,Basketball,Yes,August,28,No,22,18,1,37,111
Y2MMM,Soccer,No,May,37,No,18,17,2,30,209
ZDEZT,Baseball,No,February,15,No,12,11,7,74,285
XWET8,Track & Field,Yes,March,10,No,35,19,7,18,35
ZQY76,Track & Field,No,April,8,No,7,7,4,24,41
Y3BK3,Basketball,No,November,17,No,19,10,4,17,43
Y2FKQ,Hockey,No,December,11,Yes,14,10,5,13,48
XRFVC,School,No,June,123,No,9,3,1,34,46
XURF8,Wrestling,No,November,15,No,17,15,8,29,97
ZEEQB,Baseball,No,July,4,No,2,2,2,11,39
YPF3F,Baseball,No,May,13,No,16,16,8,20,73
YMZS6,School,No,April,34,Yes,7,6,3,15,29
YUSK9,Spirit Wear,No,October,42,No,121,47,17,66,132
XK95U,Lacrosse,No,January,7,No,1,1,1,4,3
XW58R,Softball,No,October,13,No,9,9,1,17,58
YBN36,Other,Yes,January,23,No,1,1,1,7,7
ZQXC5,Softball,No,June,4,No,13,6,3,4,13
Z6UP4,Volleyball,No,May,14,No,25,16,9,15,36
YFC4P,Basketball,No,August,24,No,39,10,6,5,18
ZVX88,Cheer,No,July,10,No,54,44,10,43,548
ZGN97,Other,No,October,21,No,9,4,3,8,14
ZFC9V,Track & Field,No,November,16,No,7,3,1,2,0
ZDQ2H,Baseball,Yes,January,14,Yes,2,2,1,3,4
Z6E82,Other,No,October,28,No,13,12,2,25,122
YP36X,Volleyball,No,August,43,No,65,28,6,50,164
Z3GZB,Track & Field,No,January,26,No,11,10,6,25,58
XJVEJ,Basketball,No,October,19,No,17,11,4,20,44
YYTN7,Wrestling,No,November,21,No,15,10,4,37,106
Y5UMC,Basketball,No,November,26,No,13,13,6,24,78
YMNSC,Football,No,November,25,Yes,13,4,1,3,10
XDFAG,Ultimate Frisbee,No,August,11,No,2,2,1,32,39
Z22GV,Field Hockey,No,November,13,No,17,12,9,21,51
ZTQ4E,Football,Yes,October,15,No,35,19,2,15,53
XD5FM,Other,No,October,24,No,11,8,6,39,83
ZDE5J,Dance,No,October,18,No,37,17,10,23,49
Y6AXH,Basketball,No,October,38,No,13,6,2,22,49
Z638G,Other,No,March,4,No,17,4,1,2,4
YVBKR,Football,No,May,23,Yes,11,9,6,57,258
ZWKUU,Track & Field,No,November,13,No,26,13,2,6,31
YPSZF,Basketball,No,February,5,No,2,2,1,94,217
Y8FF5,Apparel,No,October,42,No,50,30,7,28,74
Y2Y4F,Spirit Wear,No,May,12,No,8,6,6,14,30
Z6PMQ,Athletics,No,October,25,No,20,17,1,23,64
ZVSX9,Track & Field,No,March,3,Yes,15,10,1,19,45
YGYDV,Baseball,No,October,18,Yes,218,28,5,60,360
XFYME,Football,Yes,June,13,No,36,24,3,65,411
Z5J33,Other,No,October,19,No,25,18,11,24,48
YKWZ3,Lacrosse,No,February,6,No,3,1,1,16,16
Z6PNU,Tennis,No,August,7,No,28,16,6,28,80
ZYUXX,Apparel,No,April,227,No,15,11,3,9,22
ZD5NH,Spirit Wear,No,August,38,Yes,21,10,2,20,42
XVK5J,Football,No,June,24,No,4,4,2,38,148
YM4DN,Spirit Wear,No,January,14,No,15,10,5,13,24
XDMM9,Baseball,Yes,January,49,No,36,27,5,13,83
YCGRJ,Baseball,Yes,January,15,No,108,18,10,9,26
XU33R,Apparel,No,November,59,No,20,19,10,47,165
Y35YQ,Other,No,January,17,No,5,1,1,5,5
YSFQP,Basketball,No,November,16,No,8,6,3,7,16
XUZD6,Apparel,No,September,24,No,12,11,6,13,41
XFYRC,Soccer,No,July,48,No,17,13,4,17,50
YT8Q3,Softball,No,December,48,No,13,7,3,4,0
ZMZXQ,Fundraiser,No,October,26,No,3,2,1,22,51
ZTVVK,Basketball,No,December,17,No,53,10,8,11,16
XVK6D,Baseball,No,January,22,No,46,30,6,13,62
YUXST,Lacrosse,No,February,2,No,26,12,3,10,23
YM94R,Other,No,August,11,No,4,4,3,58,65
YNJJR,Lacrosse,Yes,February,17,Yes,42,27,9,41,130
XXQU3,Hockey,No,May,117,No,36,15,4,22,48
ZJBZF,Baseball,No,October,40,No,14,14,6,22,100
ZY7BE,Spirit Wear,No,November,10,No,22,14,3,17,31
ZYPBV,Basketball,No,September,41,No,43,17,5,17,56
Z7QCH,Golf,No,September,10,No,13,2,2,1,2
YPVDP,Wrestling,No,November,22,No,14,13,2,22,64
Z54CF,Soccer,Yes,April,48,No,31,19,2,105,484
Y37VT,Other,No,October,102,No,8,8,4,30,61
ZW325,Baseball,No,January,1,No,80,57,8,34,1913
XRPC7,Baseball,No,May,14,Yes,22,16,3,29,93
YMB79,Spirit Wear,No,August,88,No,21,16,7,63,166
ZJNAZ,Softball,No,May,7,No,6,4,2,3,12
Z5XRR,Baseball,No,November,26,No,18,13,4,12,51
YK22G,Cross Country,No,August,14,No,6,5,3,26,52
XNE4T,Apparel,No,April,13,No,20,14,7,38,63
XHPB4,Apparel,No,August,21,No,23,10,4,11,22
Z2RRC,Lacrosse,Yes,February,17,No,18,1,1,22,22
XWUJD,Soccer,Yes,February,13,No,21,8,3,18,49
Y89ZD,Reunion,No,September,15,No,3,1,1,20,27
Y6KGU,Baseball,No,January,21,No,43,23,5,22,101
Z5MQP,Other,No,May,28,No,18,3,3,1,3
ZJP4V,Greek,No,August,15,No,2,2,2,84,99
XZTQV,Soccer,No,June,63,No,19,19,6,41,97
XGMS9,Volleyball,No,August,11,No,16,8,5,26,62
YZRHD,Basketball,No,December,17,No,12,7,1,20,50
YY5M9,School,No,August,18,No,18,11,5,25,34
Y424E,Football,No,May,15,Yes,14,13,4,29,133
YPSEF,Soccer,No,June,13,No,13,10,5,17,50
YWG99,Softball,No,January,66,No,35,24,6,32,127
Y2AV2,Hockey,No,April,8,No,6,6,4,24,52
YNK9B,Spirit Wear,No,December,11,No,37,17,7,11,24
ZZPGJ,Reunion,No,April,40,No,3,3,1,12,55
YVU5E,Baseball,No,August,14,Yes,9,8,1,10,27
Y4WHD,Basketball,No,October,19,No,39,19,8,24,53
Y8QNW,Softball,No,April,13,No,31,27,8,35,135
ZB9U6,Staff,No,July,61,No,29,7,5,12,17
Z6VDV,Band Music & Choir,No,October,42,No,18,12,2,31,46
XFS2C,Basketball,No,October,13,No,13,8,7,14,38
YRWYM,Other,No,May,37,No,12,9,4,7,31
ZHKXS,Volleyball,Yes,October,10,Yes,41,17,1,11,29
Z3RD9,Volleyball,No,September,12,No,19,15,3,25,70
YEB8B,Soccer,No,November,3,No,26,6,2,9,14
XP2CR,Volleyball,Yes,June,20,No,11,9,1,9,25
YU77W,Baseball,No,October,12,No,23,23,5,42,314
Z36AM,Swimming,No,January,39,No,26,2,1,3,3
YT7XF,Hockey,No,July,50,Yes,18,8,4,6,17
YKQDC,Football,No,July,22,No,14,13,8,18,46
ZDREA,Lacrosse,Yes,November,15,Yes,19,16,2,40,212
ZK96A,Soccer,No,August,25,No,3,1,1,17,17
Y7MW7,Spirit Wear,No,August,35,No,37,32,8,77,137
ZNYMC,Other,No,November,25,No,1,1,1,13,15
XTRSF,Softball,No,August,8,No,8,1,1,2,1
Y9C25,Softball,No,April,13,No,5,5,3,11,24
XX44T,Apparel,No,January,26,No,10,10,6,21,36
XNTGZ,School,No,August,58,No,5,5,4,32,54
XRBN7,Other,Yes,February,26,Yes,117,39,3,22,105
Z7TBF,Cross Country,No,August,39,No,36,16,6,10,36
XRHVU,Corporate,Yes,February,24,No,31,7,6,5,12
ZQXXT,Other,No,October,20,No,14,12,9,74,149
YE878,Staff,No,November,20,No,18,5,2,6,6
YJMZY,Apparel,No,December,48,Yes,18,4,2,3,5
Y4E4E,Spirit Wear,No,September,22,No,10,10,2,91,179
Z79P6,Basketball,No,September,24,No,9,4,1,17,75
XZYGY,Volleyball,No,October,21,No,5,3,1,13,38
ZJTXB,School,No,November,18,No,6,3,1,8,35
Z8RE5,Baseball,No,November,17,No,89,32,7,49,241
YKF7U,Softball,No,June,16,No,27,7,5,3,12
ZN8EU,Golf,No,July,26,No,7,7,5,13,32
ZAHZP,Volleyball,No,July,15,No,26,12,3,9,0
YZG4V,School,No,May,15,No,13,4,3,1,13
XDCTR,Spirit Wear,No,November,22,No,30,19,12,14,78
XGYRR,Apparel,Yes,October,45,No,34,20,7,18,65
ZRQ7J,Spirit Wear,No,August,38,No,24,24,6,96,212
XG9P5,Soccer,No,July,28,No,10,10,3,40,68
YXNRC,Hockey,No,September,32,No,34,22,5,32,163
ZGPT4,Track & Field,No,February,10,No,23,14,5,14,29
ZMMH8,Spirit Wear,No,January,17,No,9,6,4,13,24
XTGBR,Softball,No,March,8,No,1,0,0,18,44
ZD72F,Spirit Wear,Yes,August,15,No,48,28,1,33,77
XSYDE,Staff,No,July,39,Yes,18,14,4,15,35
ZBWYR,Police Fire & Military,No,April,14,No,5,5,2,186,426
XNPKA,Hockey,No,August,14,No,34,9,3,63,161
XZW89,School,No,January,17,No,26,18,4,31,49
Y448J,Soccer,No,July,29,No,17,9,5,8,22
ZVAVF,Basketball,No,November,8,No,8,8,3,41,124
ZRPYW,Football,No,May,25,Yes,22,21,2,35,285
XDZ8W,Cross Country,No,August,14,Yes,57,45,3,52,137
ZX8ZN,Other,No,June,34,No,15,11,1,7,21
ZHZ4T,Basketball,Yes,January,4,No,6,2,1,12,18
YD695,Baseball,Yes,March,11,Yes,9,5,1,5,0
XQ6KC,Band Music & Choir,No,July,20,No,11,10,7,15,44
XJ8W6,Softball,No,May,16,No,26,15,6,8,21
XPDBK,Other,No,May,14,No,2,1,1,4,7
ZS783,Football,No,July,28,Yes,28,26,1,86,234
ZH7T7,Faith,No,October,34,No,63,29,10,26,63
YEKZJ,Swimming,No,July,31,No,8,8,3,18,57
XPJ97,Softball,No,October,34,No,64,2,1,1,2
ZDWK3,Track & Field,No,February,6,No,13,10,3,15,37
XRTKE,Hockey,No,September,129,No,32,16,2,14,36
Z282W,Track & Field,No,November,20,No,9,6,4,38,53
YNBJB,Other,No,October,18,No,14,6,1,8,15
ZDGHB,Track & Field,No,October,50,No,21,11,2,24,58
ZTBKU,School,No,September,35,No,22,13,5,30,56
YPMWB,Softball,No,August,11,No,4,4,1,12,28
Z5EH7,Wrestling,No,November,10,No,37,15,5,7,23
ZG5R6,Softball,No,August,36,No,63,13,8,6,46
XZRA3,Volleyball,Yes,August,17,No,43,10,6,12,0
ZG76S,School,No,November,11,No,263,74,5,47,114
XHVAM,Football,No,October,13,No,16,3,1,70,95
ZNV78,Other,Yes,January,13,No,7,5,4,11,17
Z9BZZ,Apparel,No,January,31,No,16,10,5,10,58
YV5MM,Softball,No,August,15,No,31,25,14,45,221
YBPRE,Athletic Training,No,June,14,No,10,6,1,9,11
Z57TF,Football,No,June,16,No,16,16,5,49,230
YURSQ,School,No,August,2,No,1,1,1,2,329
ZR46S,Swimming,No,May,12,No,108,13,6,64,175
ZQZ3K,Other,No,November,27,No,18,7,5,5,15
YS8HJ,Hockey,No,October,36,No,15,11,5,27,41
Z7BSU,Other,Yes,September,54,No,21,15,6,53,82
ZS28S,Corporate,No,November,31,No,40,1,1,1,1
YKW7Y,Other,No,October,4,No,6,3,1,4,5
Y7Q4W,Basketball,No,September,47,No,6,5,2,22,125
YBQKB,Baseball,Yes,February,27,Yes,15,14,4,32,106
XKNQ5,Softball,No,October,13,No,51,13,4,4,16
Y8FA6,Basketball,No,November,12,No,10,10,5,21,51
ZDUYH,Softball,No,June,6,No,15,10,3,13,55
YVAEU,Cheer,No,August,10,No,18,6,4,2,11
XHVK8,Basketball,No,December,3,No,12,2,1,1,2
Y8Q6E,Track & Field,No,January,45,No,11,5,2,6,13
Y3AE9,Spirit Wear,No,July,31,No,45,43,11,100,254
Y79SS,Other,Yes,September,15,Yes,19,13,1,22,39
