Stores Sale Code,Stores Normalized Activity,Stores Has Theme (Yes / No),Stores Opens At Month Name,Stores Days Open,User Built By Omg (Yes / No),Stores Products Offered Sum,Products Count Products,Products Count Brands,Orders Count Orders,Transactions Net Units
ZKWZ5,Staff,No,October,24,No,17,6,3,6,9
ZXQ59,Baseball,No,February,34,No,89,15,8,12,33
XG7PJ,Booster Club,No,September,5,No,2,2,1,30,79
YZ3TG,Softball,No,April,28,No,18,13,6,27,58
YYEAM,Athletics,No,December,10,Yes,1,1,1,44,49
ZU9VF,Wrestling,No,November,1,No,15,4,4,3,13
YSHP4,Lacrosse,No,January,4,Yes,52,32,7,126,214
XX6RJ,Football,No,June,27,No,18,17,6,17,97
XZQNV,Other,No,January,32,No,32,1,1,1,1
YPA5K,Baseball,No,November,12,No,48,3,1,3,3
YTEJ8,Apparel,No,August,12,No,21,7,3,13,23
XUSC9,Cross Country,No,August,21,No,15,8,3,12,30
Z9KKP,Football,No,July,14,No,37,25,14,24,68
Y2XCU,Swimming,No,May,15,No,36,26,6,31,93
Z8PDR,School,No,February,26,No,9,6,1,9,11
XX8YD,Track & Field,No,February,12,No,10,8,1,14,29
Z499C,Track & Field,Yes,February,28,No,39,21,5,46,141
XN9BR,Spirit Wear,No,May,3,No,12,3,3,2,5
YSRWV,Baseball,Yes,January,49,No,19,15,7,27,92
XNYV7,Track & Field,Yes,February,19,No,19,13,5,53,124
XZETY,Baseball,No,October,78,No,17,12,5,11,32
Y7KKN,Apparel,No,September,23,Yes,13,10,2,8,20
YXFD5,Other,No,November,20,No,29,4,2,3,4
ZQ3W4,School,No,October,20,No,3,3,1,31,41
YNDNY,Track & Field,No,October,19,No,40,30,2,93,350
XS6R9,School,Yes,October,37,No,23,6,3,8,14
ZQS9C,Tennis,No,February,17,Yes,7,7,4,13,28
XZMWW,Other,No,August,16,No,6,3,2,5,7
Z8D3K,Baseball,No,October,33,No,26,6,2,8,19
YCEE3,Baseball,No,December,61,No,15,5,2,1,7
Z6NW7,Football,No,January,18,No,20,11,3,20,73
XMCEE,Spirit Wear,No,October,14,No,5,2,1,25,30
ZXT72,School,No,February,28,No,19,4,2,5,8
YBQHU,Baseball,No,April,57,No,18,7,2,5,42
XZBSQ,Track & Field,No,December,48,No,9,9,3,60,137
Y6CGJ,Other,No,November,9,No,8,6,3,7,29
YFU52,Holiday,No,October,38,No,2,2,2,34,48
YZJ8H,School,No,October,16,No,8,5,1,10,15
XQMYY,Basketball,No,April,7,No,31,11,5,4,23
YMW88,School,No,June,52,No,29,14,2,12,25
YE3ZC,Softball,No,June,9,No,11,10,5,22,85
YPEYD,Staff,No,May,14,No,24,13,6,24,50
ZBH4A,Soccer,No,October,15,No,8,5,4,7,12
ZB768,Spirit Wear,Yes,February,12,No,1,1,1,24,51
ZBT53,Baseball,No,January,8,No,8,5,2,12,31
ZR9DC,Band Music & Choir,No,November,23,No,11,7,3,14,16
ZB23P,Apparel,No,June,13,No,67,2,1,3,2
ZA2M7,Spirit Wear,No,September,15,No,12,8,5,19,41
ZHXJ5,Baseball,No,August,11,No,32,19,6,15,49
XT5DT,Baseball,No,June,19,No,7,7,5,14,48
Z9QCH,Volleyball,No,August,35,No,7,3,2,21,20
ZURCG,Other,No,November,15,Yes,8,7,4,8,23
YFN9A,Field Hockey,No,September,26,No,14,3,1,8,14
XVXH2,Baseball,No,February,15,No,22,17,8,33,126
Y2JGT,Cross Country,Yes,July,16,No,24,15,7,6,23
Z6QPJ,Baseball,No,February,6,No,7,3,3,7,15
YFT7M,Soccer,No,June,31,No,14,2,1,1,3
XEQRA,Football,No,May,35,No,8,5,3,2,6
ZUNPQ,Corporate,No,July,23,No,12,7,2,17,23
XGQBC,Spirit Wear,No,November,10,No,17,13,3,24,47
ZZPCA,Volleyball,No,November,13,No,8,8,4,22,69
ZUUEA,Softball,No,September,6,No,183,4,2,3,16
YJUM8,Lacrosse,No,November,8,No,53,23,11,10,45
Z3KBH,Lacrosse,No,February,12,No,17,16,1,37,122
YFTJY,School,No,October,25,No,14,12,3,14,37
YARQ5,Softball,No,November,21,No,19,14,5,39,327
YP3UZ,Cheer,No,December,25,No,10,9,6,16,0
XXA8A,Soccer,No,November,25,No,37,24,12,41,97
ZDW36,Other,No,November,15,No,7,7,2,32,178
YARN4,Baseball,No,February,11,Yes,12,11,2,15,48
ZT87W,Baseball,Yes,December,53,No,73,15,9,25,141
YF58P,Football,No,February,15,No,17,6,2,3,9
YCWVU,Other,No,January,10,No,7,4,2,1,20
XQQWE,Wrestling,No,October,38,No,16,11,6,31,90
YEXK8,Other,No,October,20,No,15,8,1,14,24
Z7W55,Baseball,No,April,16,No,7,2,2,3,3
Y6E2H,Other,No,September,33,No,55,29,10,21,61
XQM7K,Other,No,September,34,No,6,6,1,41,186
Z4SUG,Basketball,Yes,October,22,Yes,10,9,2,17,56
Y93YF,Swimming,No,August,47,No,21,10,7,19,56
Y4F4Y,Apparel,No,February,27,No,1,1,1,105,107
YDKUM,Track & Field,No,January,36,No,21,15,5,46,131
YNEP8,Other,No,December,14,No,5,4,4,8,26
Y23ES,Softball,Yes,January,12,No,52,31,12,21,99
ZR574,Football,No,May,15,No,11,7,3,15,70
ZT3TS,Staff,No,October,9,Yes,6,5,2,35,63
XGSEU,Basketball,No,August,25,No,27,14,6,25,47
ZCRH7,Volleyball,No,February,11,Yes,8,7,2,25,42
YQ2QE,Football,No,July,18,No,18,16,1,21,130
ZSDK7,Cheer,No,June,59,Yes,19,18,11,15,184
XV9S6,Soccer,No,June,16,Yes,26,21,2,23,64
XN3JB,Other,No,April,15,No,27,8,5,7,15
XR4HX,Softball,No,December,4,No,12,11,7,17,50
Y2JWV,Wrestling,Yes,December,31,No,27,6,5,8,23
ZKPGV,Volleyball,Yes,June,42,No,19,17,3,30,88
ZQ5DV,Football,No,August,29,No,15,3,1,5,6
Y3HT6,Football,No,July,16,No,9,7,3,13,49
XSFAV,Other,No,April,7,No,1,1,1,41,43
Y4DHA,Baseball,No,December,55,No,9,8,1,2,22
XKESY,Spirit Wear,No,February,12,No,4,4,1,17,33
ZVST5,School,No,September,4,No,5,5,2,63,71
Y7NR8,Other,No,February,10,No,8,4,2,8,26
Y8CUA,Cheer,No,December,31,No,16,9,5,7,16
ZFBYZ,Volleyball,No,June,40,No,15,14,4,29,77
ZCBAA,Basketball,No,November,13,No,41,10,6,8,20
YZ78D,Greek,No,January,5,No,1,1,1,21,21
ZZR2V,Softball,No,April,19,No,9,6,3,16,53
Y65NK,Athletics,Yes,April,34,No,85,35,3,37,106
YWJVE,Basketball,No,November,20,No,12,5,1,4,10
ZMXZK,Swimming,Yes,August,23,No,7,1,1,1,1
XE5AN,Swimming,No,February,7,No,9,5,3,5,16
YRC9N,Other,No,March,6,No,13,8,4,144,229
XEN76,Wrestling,No,February,4,No,2,1,1,13,25
Z5ZD6,Baseball,No,February,19,No,23,10,4,6,29
ZRFA2,Gymnastics,No,January,12,No,4,4,2,4,11
XSBYQ,School,No,June,107,No,75,3,2,2,3
ZRU4T,Cross Country,No,September,10,No,19,7,4,23,51
Z5A7U,Baseball,No,January,8,Yes,27,24,10,76,493
XJ4AV,Medical,No,October,23,No,17,7,2,13,16
ZB79A,Other,No,October,62,No,8,3,1,7,10
Z75CX,Other,No,February,6,No,8,1,1,3,4
ZXEQC,Basketball,Yes,February,28,No,18,2,2,1,2
ZMQHB,Baseball,No,February,33,No,40,8,4,8,16
XR2KQ,Volleyball,No,January,11,No,8,8,1,63,146
ZD9BN,Spirit Wear,No,August,20,No,25,23,6,23,81
XF2VU,Apparel,No,January,7,No,1,1,1,25,50
Y8UMB,Apparel,No,September,21,No,25,22,5,61,139
YNASQ,Water Polo,No,October,116,No,41,29,16,53,166
Y5RZ4,Track & Field,Yes,February,14,No,25,20,2,44,97
YCVEQ,Rugby,No,January,24,No,40,14,1,4,23
YU5V8,Other,No,September,31,No,33,10,3,12,24
ZDC6B,Basketball,Yes,December,8,Yes,11,9,3,19,38
Y82Z8,Hockey,No,November,31,No,49,17,5,24,68
